iter	Passed	Remaining
809	6170	1447
810	6177	1439
811	6185	1432
812	6192	1424
813	6200	1416
814	6206	1408
815	6211	1400
816	6218	1392
817	6225	1385
818	6230	1376
819	6238	1369
820	6245	1361
821	6252	1353
822	6257	1345
823	6267	1338
824	6273	1330
825	6279	1322
826	6289	1315
827	6295	1307
828	6303	1300
829	6309	1292
830	6317	1284
831	6323	1276
832	6331	1269
833	6337	1261
834	6344	1253
835	6351	1245
836	6358	1238
837	6366	1230
838	6376	1223
839	6386	1216
840	6392	1208
841	6401	1201
842	6406	1193
843	6414	1185
844	6420	1177
845	6426	1169
846	6434	1162
847	6439	1154
848	6447	1146
849	6453	1138
850	6459	1130
851	6465	1123
852	6471	1115
853	6480	1107
854	6486	1099
855	6491	1092
856	6499	1084
857	6505	1076
858	6512	1069
859	6518	1061
860	6523	1053
861	6531	1045
862	6537	1037
863	6542	1029
864	6549	1022
865	6555	1014
866	6562	1006
867	6568	998
868	6574	991
869	6582	983
870	6589	975
871	6597	968
872	6603	960
873	6611	953
874	6616	945
875	6622	937
876	6632	930
877	6638	922
878	6646	914
879	6652	907
880	6660	899
881	6665	891
882	6672	884
883	6679	876
884	6685	868
885	6696	861
886	6703	854
887	6711	846
888	6717	838
889	6725	831
890	6731	823
891	6737	815
892	6744	808
893	6750	800
894	6758	792
895	6764	785
896	6770	777
897	6779	770
898	6786	762
899	6795	755
900	6801	747
901	6808	739
902	6814	732
903	6820	724
904	6827	716
905	6833	709
906	6841	701
907	6846	693
908	6852	686
909	6860	678
910	6865	670
911	6875	663
912	6881	655
913	6888	648
914	6895	640
915	6902	632
916	6910	625
917	6916	617
918	6924	610
919	6930	602
920	6939	595
921	6947	587
922	6955	580
923	6962	572
924	6968	565
925	6976	557
926	6982	549
927	6992	542
928	6997	534
929	7004	527
930	7010	519
931	7017	511
932	7031	504
933	7038	497
934	7044	489
935	7050	482
936	7057	474
937	7062	466
938	7071	459
939	7076	451
940	7083	444
941	7091	436
942	7097	429
943	7104	421
944	7110	413
945	7116	406
